Estimated owners,Peak CCU,Required age,Price,DLC count,Supported languages,Full audio languages,Windows,Mac,Linux,Metacritic score,User score,Positive,Negative,Achievements,Recommendations,Multiplayer,Genres
0,0,0,19.99,0,1,0,1,0,0,0,0,6,11,30,0,1,3
0,0,0,0.99,0,10,0,1,1,0,0,0,53,5,12,0,0,2
0,0,0,4.99,0,2,0,1,0,0,0,0,0,0,0,0,0,4
0,0,0,5.99,0,11,0,1,1,1,0,0,3,0,0,0,0,3
0,0,0,0,0,2,0,1,1,0,0,0,50,8,17,0,0,2
2,68,0,0,0,1,0,1,0,0,0,0,87,49,0,0,1,6
0,3,0,10.99,1,3,0,1,0,0,0,0,21,7,62,0,0,2
0,2,0,9.99,0,2,2,1,0,0,0,0,0,0,0,0,0,1
0,1,0,14.99,0,10,0,1,0,0,0,0,76,6,25,0,0,4
2,0,0,3.99,0,9,2,1,1,1,0,0,225,45,32,0,0,3
1,5,0,23.99,0,5,0,1,0,0,62,0,589,212,34,427,0,2
2,0,0,0,1,1,1,1,1,0,0,0,147,58,0,0,1,1
0,0,0,1.99,0,1,0,1,0,0,0,0,5,0,25,0,0,2
1,0,0,2.99,0,1,0,1,1,1,0,0,36,11,19,0,0,2
0,3,0,12.99,0,2,0,1,0,0,0,0,100,5,0,0,0,6
4,3,0,9.99,0,6,0,1,0,0,64,0,349,134,13,285,1,1
0,0,0,9.99,0,1,1,1,0,0,0,0,17,0,0,0,0,4
3,5,0,7.99,0,15,0,1,1,1,0,0,2046,120,48,1615,0,4
0,4,0,9.59,2,2,0,1,0,0,0,0,0,0,0,1144,0,2
0,0,0,9.99,0,1,1,1,0,0,0,0,3,1,0,0,0,5
1,0,0,17.99,1,4,0,1,1,1,0,0,61,29,32,0,1,2
1,10,0,2.99,0,1,0,1,0,0,0,0,29,28,0,0,0,4
3,19,0,37.49,23,3,3,1,1,1,0,0,1490,408,0,1831,0,4
1,0,0,2.99,0,1,0,1,0,0,0,0,4,10,0,0,0,4
1,319,0,5.99,0,1,0,1,0,0,0,0,392,57,0,493,1,4
0,0,0,9.99,0,1,0,1,0,0,0,0,37,22,4,0,0,3
1,0,0,4.99,0,1,1,1,0,0,0,0,18,50,43,0,0,1
0,0,0,2.99,0,6,6,1,1,0,0,0,38,4,60,0,0,1
0,0,0,1.99,0,2,0,1,0,0,0,0,24,5,10,0,0,4
0,19,0,13.99,1,3,0,1,1,0,0,0,0,0,73,668,0,5
0,0,0,11.99,0,1,0,1,0,0,0,0,23,18,22,0,0,2
0,0,0,2.99,0,1,0,1,0,0,0,0,8,4,11,0,0,2
1,0,0,0.99,2,1,0,1,1,1,0,0,16,10,0,0,0,3
3,1,0,0.99,0,1,0,1,0,0,0,0,258,166,29,210,1,2
0,0,0,1.99,0,1,1,1,0,0,0,0,1,0,0,0,0,3
0,0,0,1.99,0,1,1,1,1,1,0,0,7,2,0,0,0,1
0,0,0,7.99,0,12,12,1,0,0,0,0,16,8,0,0,0,3
0,0,0,1.99,0,1,0,1,0,0,0,0,35,8,0,0,0,2
4,1,0,2.49,7,1,1,1,1,1,0,0,2014,841,0,1477,1,3
2,2,0,11.99,0,1,1,1,0,0,0,0,168,39,0,186,1,3
2,0,0,0.99,0,1,0,1,0,0,0,0,55,91,0,0,0,3
3,4,0,19.99,0,5,3,1,0,1,53,0,1716,628,50,1140,1,2
0,0,0,14.99,2,1,0,1,1,1,0,0,0,0,0,0,0,1
2,2,0,3.99,0,11,0,1,1,1,84,0,698,203,10,815,0,3
2,19,0,0,0,1,0,1,1,0,0,0,138,84,211,0,1,6
0,0,0,1.99,0,1,1,1,0,0,0,0,2,2,0,0,0,18
7,2164,17,59.99,5,15,9,1,0,0,0,0,100620,25286,0,114588,1,2
1,0,0,0.55,0,1,0,1,0,0,0,0,2,3,0,0,0,5
0,0,0,14.99,0,4,0,1,0,0,0,0,60,46,34,0,0,2
1,1,0,9.99,0,1,1,1,0,0,0,0,7,1,0,0,0,2
0,0,0,4.99,0,1,0,1,0,1,0,0,1,0,18,0,0,2
0,0,0,0.99,0,1,0,1,0,0,0,0,0,0,0,0,0,2
0,0,0,0,0,12,0,1,0,0,0,0,0,0,0,0,0,3
0,0,0,5.99,0,1,1,1,0,0,0,0,3,3,20,0,1,3
0,0,0,0.99,0,1,1,1,0,0,0,0,6,1,0,0,1,3
1,1,0,0.99,0,5,0,1,1,1,0,0,69,17,17,0,0,2
